Disease_ID,Disease_Name
15,Fungal infection
4,Allergy
16,GERD
9,Chronic cholestasis
14,Drug Reaction
33,Peptic ulcer disease
1,AIDS
12,Diabetes
17,Gastroenteritis
6,Bronchial Asthma
23,Hypertension
30,Migraine
7,Cervical spondylosis
32,Paralysis (brain hemorrhage)
28,Jaundice
29,Malaria
8,Chicken pox
11,Dengue
37,Typhoid
40,Hepatitis A
19,Hepatitis B
20,Hepatitis C
21,Hepatitis D
22,Hepatitis E
3,Alcoholic hepatitis
36,Tuberculosis
10,Common Cold
34,Pneumonia
13,Dimorphic hemorrhoids (piles)
18,Heart attack
39,Varicose veins
26,Hypothyroidism
24,Hyperthyroidism
25,Hypoglycemia
31,Osteoarthritis
5,Arthritis
0,(vertigo) Paroxysmal Positional Vertigo
2,Acne
38,Urinary tract infection
35,Psoriasis
27,Impetigo
