Symptom,ID
abdominal_pain,0
agitation,1
appetite_changes,2
balance_issues,3
bleeding,4
bloating,5
blood_in_urine,6
blurred_vision,7
burning_urination,8
chest_discomfort,9
chest_pain,10
chest_tightness,11
chills,12
cloudy_urine,13
cold_intolerance,14
cold_sweat,15
confusion,16
constipation,17
cough,18
dark_urine,19
dehydration,20
diarrhea,21
difficulty_planning,22
difficulty_swallowing,23
dizziness,24
dry_skin,25
easy_bruising,26
excess_body_fat,27
excess_salivation,28
facial_pain,29
fatigue,30
fever,31
frequent_infections,32
frequent_urination,33
hair_thinning,34
headache,35
heat,36
increased_heart_rate,37
increased_thirst,38
indigestion,39
itching,40
itchy_skin,41
joint_pain,42
loss_of_appetite,43
loss_of_balance,44
loss_of_consciousness,45
loss_of_interest,46
loss_of_taste,47
memory_loss,48
mood_changes,49
mucus,50
muscle_cramps,51
muscle_pain,52
nasal_congestion,53
nausea,54
nervousness,55
night_sweats,56
numbness,57
pale_skin,58
paralysis,59
pelvic_pain,60
rash,61
red_eyes,62
red_patches,63
redness,64
reduced_motion,65
restlessness,66
rigid_muscles,67
runny_nose,68
sadness,69
scaly_patches,70
seizures,71
sensitivity_to_light,72
sensitivity_to_sound,73
severe_pain,74
shortness_of_breath,75
slowed_movement,76
sore_throat,77
staring_spells,78
stiffness,79
sweating,80
swelling,81
swollen_glands,82
swollen_tonsils,83
tingling,84
tiredness,85
tremor,86
trouble_speaking,87
vision_problems,88
vomiting,89
weakness,90
weight_changes,91
weight_loss,92
wheezing,93
yellow_eyes,94
yellow_skin,95
high_fever,96
rapid_heartbeat,97
